kind,epoch,batch,total,value,policy,samples
batch,120,1,34477.250000,490.791199,33986.457031,7
epoch,120,0,34477.250000,490.791199,33986.457031,7
batch,121,1,15201.752930,1287.163940,13914.588867,3
epoch,121,0,15201.752930,1287.163940,13914.588867,3
batch,122,1,14730.119141,1287.388306,13442.730469,3
epoch,122,0,14730.119141,1287.388306,13442.730469,3
batch,123,1,12046.269531,773.933899,11272.335938,3
epoch,123,0,12046.269531,773.933899,11272.335938,3
batch,124,1,11654.814453,487.218109,11167.596680,3
epoch,124,0,11654.814453,487.218109,11167.596680,3
batch,125,1,18713.445312,1287.179932,17426.265625,3
epoch,125,0,18713.445312,1287.179932,17426.265625,3
batch,126,1,25400.699219,11.707740,25388.992188,3
epoch,126,0,25400.699219,11.707740,25388.992188,3
batch,127,1,55933.082031,1287.281494,54645.800781,3
epoch,127,0,55933.082031,1287.281494,54645.800781,3
batch,128,1,14816.966797,1205.922729,13611.043945,3
epoch,128,0,14816.966797,1205.922729,13611.043945,3
batch,129,1,14568.671875,1287.368530,13281.303711,3
epoch,129,0,14568.671875,1287.368530,13281.303711,3
batch,130,1,18654.914062,801.824036,17853.089844,5
epoch,130,0,18654.914062,801.824036,17853.089844,5
batch,131,1,19127.435547,813.766968,18313.667969,5
epoch,131,0,19127.435547,813.766968,18313.667969,5
batch,132,1,12573.154297,977.882141,11595.272461,3
epoch,132,0,12573.154297,977.882141,11595.272461,3
batch,133,1,14034.721680,1287.175171,12747.546875,3
epoch,133,0,14034.721680,1287.175171,12747.546875,3
batch,134,1,13396.585938,1287.190186,12109.395508,3
epoch,134,0,13396.585938,1287.190186,12109.395508,3
batch,135,1,12274.329102,1127.183594,11147.145508,3
epoch,135,0,12274.329102,1127.183594,11147.145508,3
batch,136,1,17336.677734,21.075117,17315.603516,4
epoch,136,0,17336.677734,21.075117,17315.603516,4
batch,137,1,19832.900391,1287.194946,18545.705078,3
epoch,137,0,19832.900391,1287.194946,18545.705078,3
batch,138,1,13104.665039,1287.206665,11817.458008,3
epoch,138,0,13104.665039,1287.206665,11817.458008,3
batch,139,1,11116.923828,391.059784,10725.864258,3
epoch,139,0,11116.923828,391.059784,10725.864258,3
batch,140,1,19219.714844,775.858521,18443.855469,5
epoch,140,0,19219.714844,775.858521,18443.855469,5
batch,141,1,61389.359375,1205.974243,60183.386719,3
epoch,141,0,61389.359375,1205.974243,60183.386719,3
batch,142,1,16471.142578,437.903595,16033.239258,3
epoch,142,0,16471.142578,437.903595,16033.239258,3
